round,k,threshold,f1,precision,recall
1,1,0.9819819819819819,0.6666666666666666,0.6814516129032258,0.6525096525096525
1,3,0.991991991991992,0.6605504587155964,0.8135593220338984,0.555984555984556
1,5,0.994994994994995,0.6887966804979253,0.7443946188340808,0.640926640926641
1,10,0.994994994994995,0.6035805626598465,0.8939393939393939,0.4555984555984556
2,1,0.9769769769769769,0.6135265700483091,0.8193548387096774,0.49034749034749037
2,3,0.991991991991992,0.6621315192743764,0.8021978021978022,0.5637065637065637
2,5,0.994994994994995,0.614065180102916,0.5524691358024691,0.6911196911196911
2,10,0.994994994994995,0.6215538847117794,0.8857142857142857,0.47876447876447875
3,1,0.9779779779779779,0.6208530805687204,0.803680981595092,0.5057915057915058
3,3,0.991991991991992,0.7452631578947368,0.8194444444444444,0.6833976833976834
3,5,0.994994994994995,0.6846275752773375,0.5806451612903226,0.833976833976834
3,10,0.994994994994995,0.6623931623931624,0.7416267942583732,0.5984555984555985
4,1,0.9769769769769769,0.721030042918455,0.8115942028985508,0.6486486486486487
4,3,0.991991991991992,0.833976833976834,0.833976833976834,0.833976833976834
4,5,0.991991991991992,0.7925311203319502,0.8565022421524664,0.7374517374517374
4,10,0.994994994994995,0.8048289738430584,0.8403361344537815,0.7722007722007722
5,1,0.97997997997998,0.6534216335540839,0.7628865979381443,0.5714285714285714
5,3,0.991991991991992,0.8605108055009824,0.876,0.8455598455598455
5,5,0.994994994994995,0.8377896613190731,0.7781456953642384,0.9073359073359073
5,10,0.995995995995996,0.8718929254302104,0.8636363636363636,0.8803088803088803
6,1,0.9819819819819819,0.6626262626262627,0.6949152542372882,0.6332046332046332
6,3,0.993993993993994,0.8848263254113345,0.8402777777777778,0.9343629343629344
6,5,0.994994994994995,0.8968105065666041,0.8722627737226277,0.9227799227799228
6,10,0.994994994994995,0.8649706457925636,0.876984126984127,0.8532818532818532
7,1,0.97997997997998,0.6590389016018307,0.8089887640449438,0.555984555984556
7,3,0.993993993993994,0.8917910447761194,0.8628158844765343,0.9227799227799228
7,5,0.996996996996997,0.9070631970260223,0.8745519713261649,0.9420849420849421
7,10,0.996996996996997,0.8850574712643678,0.8783269961977186,0.8918918918918919
8,1,0.984984984984985,0.7064846416382252,0.6330275229357798,0.7992277992277992
8,3,0.993993993993994,0.8913857677902621,0.8654545454545455,0.918918918918919
8,5,0.996996996996997,0.9020332717190388,0.8652482269503546,0.9420849420849421
8,10,0.996996996996997,0.8833652007648184,0.875,0.8918918918918919
9,1,0.9819819819819819,0.6863157894736842,0.7546296296296297,0.6293436293436293
9,3,0.992992992992993,0.8948374760994264,0.8863636363636364,0.9034749034749034
9,5,0.995995995995996,0.9087523277467412,0.8776978417266187,0.9420849420849421
9,10,0.996996996996997,0.8998109640831758,0.8814814814814815,0.918918918918919
10,1,0.97997997997998,0.6879271070615034,0.8388888888888889,0.583011583011583
10,3,0.992992992992993,0.888030888030888,0.888030888030888,0.888030888030888
10,5,0.996996996996997,0.9060773480662984,0.8661971830985915,0.9498069498069498
10,10,0.996996996996997,0.8943396226415095,0.8745387453874539,0.915057915057915
11,1,0.9819819819819819,0.6972111553784861,0.720164609053498,0.6756756756756757
11,3,0.992992992992993,0.8829174664107485,0.8778625954198473,0.888030888030888
11,5,0.995995995995996,0.9087523277467412,0.8776978417266187,0.9420849420849421
11,10,0.996996996996997,0.8935361216730038,0.8801498127340824,0.9073359073359073
12,1,0.9819819819819819,0.7125506072874493,0.7489361702127659,0.6795366795366795
12,3,0.992992992992993,0.882466281310212,0.8807692307692307,0.8841698841698842
12,5,0.996996996996997,0.9020332717190388,0.8652482269503546,0.9420849420849421
12,10,0.996996996996997,0.8854961832061069,0.8754716981132076,0.8957528957528957
13,1,0.9819819819819819,0.7003891050583657,0.7058823529411765,0.694980694980695
13,3,0.992992992992993,0.882466281310212,0.8807692307692307,0.8841698841698842
13,5,0.996996996996997,0.9020332717190388,0.8652482269503546,0.9420849420849421
13,10,0.996996996996997,0.8829174664107485,0.8778625954198473,0.888030888030888
14,1,0.9829829829829829,0.701067615658363,0.6501650165016502,0.7606177606177607
14,3,0.992992992992993,0.8812260536398467,0.8745247148288974,0.888030888030888
14,5,0.996996996996997,0.9040590405904059,0.8657243816254417,0.9459459459459459
14,10,0.996996996996997,0.814663951120163,0.8620689655172413,0.7722007722007722
15,1,0.984984984984985,0.7290969899665551,0.6430678466076696,0.8416988416988417
15,3,0.992992992992993,0.8730769230769231,0.8697318007662835,0.8764478764478765
15,5,0.996996996996997,0.9,0.8647686832740213,0.9382239382239382
15,10,0.997997997997998,0.8045977011494253,0.7984790874524715,0.8108108108108109
16,1,0.984984984984985,0.7161290322580646,0.6149584487534626,0.8571428571428571
16,3,0.992992992992993,0.8654970760233918,0.8740157480314961,0.8571428571428571
16,5,0.996996996996997,0.9020332717190388,0.8652482269503546,0.9420849420849421
16,10,0.996996996996997,0.7846481876332623,0.8761904761904762,0.7104247104247104
17,1,0.984984984984985,0.7012987012987013,0.6050420168067226,0.833976833976834
17,3,0.996996996996997,0.8904847396768402,0.8322147651006712,0.9575289575289575
17,5,0.996996996996997,0.8979591836734694,0.8642857142857143,0.9343629343629344
17,10,0.996996996996997,0.775330396475771,0.9025641025641026,0.6795366795366795
18,1,0.984984984984985,0.6935483870967742,0.5955678670360111,0.8301158301158301
18,3,0.996996996996997,0.8933092224231465,0.8401360544217688,0.9536679536679536
18,5,0.996996996996997,0.8938547486033519,0.8633093525179856,0.9266409266409267
18,10,0.996996996996997,0.7635574837310195,0.8712871287128713,0.6795366795366795
19,1,0.984984984984985,0.729776247848537,0.6583850931677019,0.8185328185328186
19,3,0.996996996996997,0.8941605839416058,0.8477508650519031,0.9459459459459459
19,5,0.996996996996997,0.8846880907372401,0.8666666666666667,0.9034749034749034
19,10,0.996996996996997,0.7755102040816326,0.9395604395604396,0.6602316602316602
20,1,0.984984984984985,0.7013888888888888,0.637223974763407,0.7799227799227799
20,3,0.996996996996997,0.9040590405904059,0.8657243816254417,0.9459459459459459
20,5,0.996996996996997,0.8851224105461394,0.8639705882352942,0.9073359073359073
20,10,0.996996996996997,0.7637969094922737,0.8917525773195877,0.667953667953668
21,1,0.9829829829829829,0.7342799188640974,0.7735042735042735,0.6988416988416989
21,3,0.996996996996997,0.8925925925925926,0.8576512455516014,0.9305019305019305
21,5,0.996996996996997,0.8804554079696395,0.8656716417910447,0.8957528957528957
21,10,0.996996996996997,0.7847533632286996,0.9358288770053476,0.6756756756756757
22,1,0.9829829829829829,0.716297786720322,0.7478991596638656,0.6872586872586872
22,3,0.996996996996997,0.8851851851851852,0.8505338078291815,0.9227799227799228
22,5,0.996996996996997,0.8745247148288974,0.8614232209737828,0.888030888030888
22,10,0.996996996996997,0.7755102040816326,0.9395604395604396,0.6602316602316602
23,1,0.9829829829829829,0.7021696252465484,0.717741935483871,0.6872586872586872
23,3,0.996996996996997,0.8897058823529411,0.8491228070175438,0.9343629343629344
23,5,0.996996996996997,0.8718929254302104,0.8636363636363636,0.8803088803088803
23,10,0.996996996996997,0.7790432801822323,0.95,0.6602316602316602
24,1,0.983983983983984,0.7049808429118773,0.6996197718631179,0.7104247104247104
24,3,0.996996996996997,0.8950276243093923,0.8556338028169014,0.9382239382239382
24,5,0.996996996996997,0.8740458015267175,0.8641509433962264,0.8841698841698842
24,10,0.996996996996997,0.7720090293453724,0.9293478260869565,0.6602316602316602
25,1,0.9829829829829829,0.7160493827160493,0.7665198237885462,0.6718146718146718
25,3,0.996996996996997,0.9040590405904059,0.8657243816254417,0.9459459459459459
25,5,0.996996996996997,0.8867924528301887,0.8671586715867159,0.9073359073359073
25,10,0.996996996996997,0.7737556561085973,0.9344262295081968,0.6602316602316602
26,1,0.984984984984985,0.7249544626593807,0.6862068965517242,0.7683397683397684
26,3,0.996996996996997,0.9016697588126159,0.8678571428571429,0.9382239382239382
26,5,0.996996996996997,0.8740458015267175,0.8641509433962264,0.8841698841698842
26,10,0.996996996996997,0.7640449438202247,0.9139784946236559,0.6563706563706564
27,1,0.984984984984985,0.7229357798165138,0.6888111888111889,0.7606177606177607
27,3,0.996996996996997,0.895910780669145,0.8637992831541219,0.9305019305019305
27,5,0.996996996996997,0.875717017208413,0.8674242424242424,0.8841698841698842
27,10,0.996996996996997,0.7780320366132724,0.9550561797752809,0.6563706563706564
